instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,season_name,weather_condition,casual_pct,registered_pct
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,1,Saturday,Spring,Mist/Cloudy,33.60406091370559,66.39593908629442
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,2,Sunday,Spring,Mist/Cloudy,16.354556803995006,83.645443196005
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,3,Monday,Spring,Clear/Partly Cloudy,8.895478131949593,91.1045218680504
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2011,1,4,Tuesday,Spring,Clear/Partly Cloudy,6.9142125480153656,93.08578745198463
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2011,1,5,Wednesday,Spring,Clear/Partly Cloudy,5.125,94.875
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2011,1,6,Thursday,Spring,Clear/Partly Cloudy,5.47945205479452,94.52054794520548
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,2011,1,7,Friday,Spring,Mist/Cloudy,9.801324503311259,90.19867549668874
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,2011,1,8,Saturday,Spring,Mist/Cloudy,7.090719499478623,92.90928050052138
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,2011,1,9,Sunday,Spring,Clear/Partly Cloudy,6.569343065693431,93.43065693430657
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,2011,1,10,Monday,Spring,Clear/Partly Cloudy,3.1037093111279335,96.89629068887207
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,2011,1,11,Tuesday,Spring,Mist/Cloudy,3.4045922406967537,96.59540775930324
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,2011,1,12,Wednesday,Spring,Clear/Partly Cloudy,2.1514629948364887,97.84853700516352
